id,tweetContent,tweetContentProcessed
tweetImg0,"A giant 150-year-old banyan tree in Lahaina, Hawaii, was badly burned in the fires that ravaged Maui last month.

Then, green shoots began to unfurl around its trunk, hinting at the possibility of recovery for the tree and the community.
https://t.co/0bAuTvYIzL https://t.co/kwNQlybY3h",A giant 150yearold banyan tree in Lahaina Hawaii was badly burned in the fires that ravaged Maui last month Then green shoots began to unfurl around its trunk hinting at the possibility of recovery for the tree and the community
tweetImg1,How did you do in Connections today? You’re given 16 words. Your mission: Identify the hidden relationships and organize them into four distinct groups of four. https://t.co/7SLFBTdHQE https://t.co/VkP3UINerV,How did you do in Connections today Youre given 16 words Your mission Identify the hidden relationships and organize them into four distinct groups of four
tweetImg2,Have you ever wondered why we name hurricanes? The New York Times meteorologist Judson Jones explains. https://t.co/qPZpHV3SG8 https://t.co/CRiNSx8J4I,Have you ever wondered why we name hurricanes The New York Times meteorologist Judson Jones explains
tweetImg3,"The third annual New York Times Restaurant List is here. It wasn’t easy to narrow it down, but here are the 50 best restaurants in the U.S. https://t.co/ysVBoAyJ2W https://t.co/aFmGQWJvpc",The third annual New York Times Restaurant List is here It wasnt easy to narrow it down but here are the 50 best restaurants in the US
tweetImg4,"""It is the best chili I ever made or ate. So much flavor, so good."" 

This recipe makes a thick, comforting chili that can be prepared in a slow cooker or in a Dutch oven on the stovetop. https://t.co/STInvIC2dY https://t.co/NWw13e3W6l",It is the best chili I ever made or ate So much flavor so good This recipe makes a thick comforting chili that can be prepared in a slow cooker or in a Dutch oven on the stovetop
tweetImg5,"After experiencing an unsolicited wave of viral fame, the owners of the wine and ice cream bar Folderol in Paris took a number of measures to manage crowds, including hiring a bouncer and putting up a “No TikTok” sign. https://t.co/4YYYu8DGxe https://t.co/uTA5aFYiIk",After experiencing an unsolicited wave of viral fame the owners of the wine and ice cream bar Folderol in Paris took a number of measures to manage crowds including hiring a bouncer and putting up a No TikTok sign
tweetImg6,"""Deported people must come back home, and the occupier must return to their own land.""

President Zelensky of Ukraine presented Russia’s aggression as a worldwide unrelenting threat that would not stop at the borders of Ukraine at the UN General Assembly. https://t.co/gEJ30wKaM9 https://t.co/i2ixVZ7PQW",Deported people must come back home and the occupier must return to their own land President Zelensky of Ukraine presented Russias aggression as a worldwide unrelenting threat that would not stop at the borders of Ukraine at the UN General Assembly
tweetImg7,"Dear tomato season,

It's not goodbye, it's until we meet again. https://t.co/kFzBfptT6d https://t.co/Yq7sdLW9pW",Dear tomato season Its not goodbye its until we meet again
tweetImg8,"At 14, Marcos Cux was maimed while working the overnight cleaning shift at a Perdue slaughterhouse in rural Virginia. He’s just one of the thousands of migrant children trapped in dangerous jobs across the U.S. https://t.co/aOmmJjGqLC https://t.co/n840vHrBw4",At 14 Marcos Cux was maimed while working the overnight cleaning shift at a Perdue slaughterhouse in rural Virginia Hes just one of the thousands of migrant children trapped in dangerous jobs across the US
tweetImg9,From @TheAthletic: Order was restored during Week 2 of the NFL season. We ranked every team from the No. 1 Cowboys to the No. 32 Cardinals. https://t.co/odzr1mGE8d https://t.co/KGvA8sTcr9,From TheAthletic Order was restored during Week 2 of the NFL season We ranked every team from the No 1 Cowboys to the No 32 Cardinals
tweetImg10,"""If we allow Ukraine to be carved up, is the independence of any nation secure?"" President Biden asked world leaders at the UN General Assembly on Tuesday, where he condemned Russia’s ""naked aggression."" https://t.co/zNimymqyWw https://t.co/DUSj5KF4ra",If we allow Ukraine to be carved up is the independence of any nation secure President Biden asked world leaders at the UN General Assembly on Tuesday where he condemned Russias naked aggression
tweetImg11,"From @TheAthletic: The Padres' 2023 season unfolded like a nightmare. One player called it an “institutional failure.” San Diego has questions to answer, including how long they can stick with A.J. Preller. https://t.co/0Qae1YNnh7 https://t.co/1n3JWiI3cT",From TheAthletic The Padres 2023 season unfolded like a nightmare One player called it an institutional failure San Diego has questions to answer including how long they can stick with AJ Preller
tweetImg12,Eric Kim’s mother tasted his innovative version of bibimbap and told him she’d never make it the traditional way again. https://t.co/mp1EWI0AxQ https://t.co/zy4Wv0YigK,Eric Kims mother tasted his innovative version of bibimbap and told him shed never make it the traditional way again
